id_sample;DNMT3B;EXO1;MCM10
TCGA-3C-AAAU-01A;2.293107;1.8514110000000001;1.472214
TCGA-3C-AALI-01A;2.213523;2.8931400000000003;2.099413
TCGA-3C-AALJ-01A;3.160032;1.735396;1.6557119999999999
TCGA-3C-AALK-01A;1.313785;1.311587;0.928623
TCGA-4H-AAAK-01A;1.1109440000000002;1.1199370000000002;1.299784
TCGA-5L-AAT0-01A;0.951427;0.877216;0.568493
TCGA-5T-A9QA-01A;1.466265;2.5988919999999998;1.7087759999999999
TCGA-A1-A0SB-01A;1.052933;1.1260219999999999;1.1538549999999999
TCGA-A1-A0SD-01A;1.508876;0.9937530000000001;0.968008
TCGA-A1-A0SE-01A;1.4652;2.234661;2.0067779999999997
TCGA-A1-A0SF-01A;1.7815900000000002;1.4637930000000001;1.05824
TCGA-A1-A0SG-01A;0.9578469999999999;1.072824;0.727449
TCGA-A1-A0SH-01A;0.80397;0.9225540000000001;0.53576
TCGA-A1-A0SI-01A;1.879155;2.902699;1.7459529999999999
TCGA-A1-A0SJ-01A;0.806192;1.78004;1.534669
TCGA-A1-A0SK-01A;1.960878;2.380792;2.9768470000000002
TCGA-A1-A0SM-01A;0.782421;2.0076490000000002;1.456413
TCGA-A1-A0SN-01A;1.307475;2.856059;1.449729
TCGA-A1-A0SO-01A;4.259979;4.252574;4.543829
TCGA-A1-A0SP-01A;1.6252010000000001;2.923606;1.823115
TCGA-A1-A0SQ-01A;0.572756;1.569598;1.433437
TCGA-A2-A04N-01A;1.051667;0.8594780000000001;0.841933
TCGA-A2-A04P-01A;1.385709;2.1455990000000003;1.551858
TCGA-A2-A04Q-01A;2.73888;2.486472;2.411712
TCGA-A2-A04R-01A;1.4401709999999999;2.159581;2.002406
TCGA-A2-A04T-01A;2.545512;4.090644999999999;2.710207
TCGA-A2-A04U-01A;2.373614;3.057077;3.13708
TCGA-A2-A04V-01A;1.275973;1.218813;1.192374
TCGA-A2-A04W-01A;1.07681;1.351704;1.1231280000000001
